Gene	Length
RP11-341D18.8	897
RP11-341D18.9	123
GGT4P	1708
RP11-341D18.5	2396
KMT5AP1	1180
RP11-341D18.6	1017
ABC7-42418200C9.1	3447
ZNF962P	3140
BNIP3P7	516
LINC00349	1500
LONRF2P2	571
LINC00388	663
FEM1AP4	1987
LINC00387	458
TERF1P5	1207
FAM207BP	505
GXYLT1P1	490
CNN2P12	709
ZNF965P	817
CYP4F34P	481
SNX18P26	740
LINC00328-2P	219
ANKRD20A9P	2978
RHOT1P3	331
RNU6-55P	107
RNU6-76P	104
SNX19P2	2971
LINC00408	2356
RP11-442J17.3	1084
PHF2P2	3957
LINC00442	2571
USP24P1	779
GTF2IP3	494
RP11-301J16.7	199
RP11-301J16.8	756
RNA5SP24	95
CENPIP1	902
RP11-408E5.6	379
SMPD4P2	1634
RP11-408E5.8	153
TUBA3C	1521
RP11-408E5.4	808
PSPC1P1	665
ANKRD26P3	4469
MRPL3P1	1033
LINC00421	1054
PARP4P2	3326
CCNQP3	619
RP11-385E5.5	1059
SLC25A15P2	338
TPTE2	2287
CYCSP32	321
MRPS31P2	518
ESRRAP1	1257
LINC00350	1640
CASC4P1	1312
MPHOSPH8	4909
PSPC1-AS2	376
PSPC1	4817
RN7SL166P	280
ST6GALNAC4P1	499
ZMYM5	3726
RP11-61K9.2	444
RP11-61K9.3	1191
ZMYM2	13611
KRR1P1	803
RP11-264J4.8	1513
LINC01072	431
GJA3	5214
PPIAP28	485
LINC00556	412
GJB2	2474
RP11-264J4.10	1594
GJB6	3270
CRYL1	4327
MIR4499	69
RP11-476H16.1	787
IFT88	6049
SLC35E1P1	864
RNU2-7P	178
RP11-172H24.4	4412
IL17D	3624
RP11-261P13.5	1716
EEF1AKMT1	1342
RANP8	713
RP11-261P13.6	500
XPO4	10497
CNOT4P1	1199
HNRNPA1P30	1624
PPIAP27	265
RPSAP54	886
LATS2	5613
LATS2-AS1	632
RNU4-9P	139
RPS12P23	400
IPPKP1	768
ENSG10010138382.1	126
SAP18	3396
SKA3	2998
MRPL57	2233
RP11-101P17.14	106
LINC01046	1614
ESRRAP2	3051
RP11-101P17.15	195
MIPEPP3	617
LINC00539	4321
GRK6P1	1711
GAPDHP52	942
RNA5SP25	110
ZDHHC20	5576
ZDHHC20-IT1	440
H2BP6	341
MICU2	3612
FNTAP2	634
RNU6-59P	107
RPS7P10	603
FGF9	4849
RN7SL766P	309
LINC00424	1912
LINC00540	3099
NME1P1	382
MTND3P1	220
RP11-26A3.1	2355
FTH1P7	552
DDX39AP1	1181
SNORD36	80
RPL7AP73	353
IPMKP1	855
RFESDP1	461
LINC00621	6919
BASP1P1	665
NUS1P2	873
RP11-124N19.3	585
RP11-124N19.4	463
HMGA1P6	391
RNY3P4	101
LINC00362	264
SGCG	1594
RNU6-58P	103
TATDN2P3	3665
SDAD1P4	1645
SACS	26912
RPLP1P13	299
SACS-AS1	2234
LINC00327	5207
LINC00352	552
TNFRSF19	5113
MIPEP	3388
MTCO3P2	171
PCOTH	1370
C1QTNF9B	1583
ANKRD20A19P	2796
RP11-45B20.6	1806
RP11-307N16.6	4157
SPATA13	11308
IPO7P2	1750
MIR2276	89
SPATA13-AS1	433
C1QTNF9	1893
C1QTNF9-AS1	470
RP11-307N16.7	437
NUS1P3	862
LINC00566	570
CYCSP33	327
TPTE2P6	1816
PARP4	6043
RP11-556N21.7	1867
RP11-556N21.6	1126
PSPC1P2	225
RP11-556N21.1	1710
RP11-556N21.5	313
ATP12A	4424
RNY1P7	110
RPL26P34	451
RP11-534K14.4	909
IRX1P1	1838
RP11-534K14.5	2325
ANKRD20A10P	1515
RNF17	5617
CENPJ	5816
TPTE2P1	3790
RP11-756A22.7	329
SLC25A15P3	290
RPL34P27	349
LSP1P1	133
RP11-458I4.2	138
PABPC3	3119
RP11-165I9.10	274
AMER2	10610
LINC01053	1759
LINC00463	2931
RP11-165I9.9	255
LINC01076	302
RPL23AP69	458
MTMR6	5237
RP11-271M24.2	1315
NUP58	10395
ELOBP1	357
ATP8A2	24302
RNU6-78P	107
RP11-467D10.2	418
RN7SL741P	289
RNY1P3	118
SHISA2	3845
LINC00415	435
ATP8A2P3	1536
PRUNEP1	705
RNF6	4442
RP11-380N8.7	464
RP11-380N8.6	313
THAP12P6	2310
CDK8	3538
ENSG10010135068.1	174
RP11-570F6.2	2207
WASF3	5182
RPS3AP44	790
WASF3-AS1	3656
RP11-496O3.3	2593
GPR12	5299
FGFR1OP2P1	500
RP11-545M8.4	576
RPS21P8	247
RPS20P32	356
USP12	5096
RP11-144H23.2	745
USP12-AS1	268
USP12-AS2	279
LINC02340	1098
LINC00412	650
RPL21	2196
SNORD102	72
SNORA27	126
RASL11A	2623
RNU6-70P	60
LINC01079	580
RNY1P1	112
GTF3A	2926
MTIF3	1603
RNU6-63P	95
LNX2	4815
POLR1D	11210
RP11-87C7.3	1022
NPM1P4	812
GSX1	1823
PLUT	2518
RNU6-73P	107
PDX1	2603
ATP5F1EP2	156
LINC00543	1845
CDX2	3517
URAD	967
RN7SL272P	289
FLT3	4159
KATNBL1P1	748
CHCHD2P8	447
PAN3-AS1	1351
PAN3	6352
EEF1A1P3	1385
RNU6-82P	107
FLT1	12565
RP11-95G6.1	1635
EIF4A1P7	1220
POMP	1462
SLC46A3	3776
RNU6-53P	106
CYP51A1P2	1499
RP11-161P17.2	225
POM121L13P	380
MTUS2	8454
MTUS2-AS2	1059
GAPDHP69	1008
RP11-351N4.4	304
MTUS2-AS1	2567
SLC7A1	7688
UBL3	4317
TIMM8BP1	211
LINC00297	913
LINC00572	575
LINC00544	1981
RP11-629E24.2	1780
LINC00365	3809
LINC00384	6852
LINC00385	1132
RP11-490N5.3	439
KATNAL1	8172
RNU6-64P	105
PRDX2P1	589
LINC00427	430
LINC00426	4873
RP11-374F3.5	2496
RP11-223E19.3	4177
LINC01058	448
UBE2L5	3318
HMGB1	7696
RP11-550P23.6	1461
RBM22P2	1814
MFAP1P1	1255
PTPN2P2	1024
USPL1	5125
ALOX5AP	1680
LINC00398	906
LINC00545	585
TEX26-AS1	6512
MEDAG	2294
TEX26	1705
RP11-252M21.6	337
LINC01066	399
RP11-64I8.1	1105
WDR95P	1542
HSPH1	8391
B3GLCT	4527
ANKRD26P4	950
RP11-326L9.1	565
RP11-326L9.2	286
RXFP2	3336
RP11-432E15.2	1715
FRY	18852
EEF1DP3	782
RP1-257C22.2	1622
FRY-AS1	1115
ZAR1L	1584
BRCA2	12778
IFIT1P1	1449
N4BP2L1	6053
ENSG10010136194.1	127
RP11-298P3.4	764
N4BP2L2	21002
ATP8A2P2	1568
N4BP2L2-IT2	4890
PDS5B	13187
RNY1P4	115
RP11-380B4.3	5305
LINC00423	903
TOMM22P3	345
KL	5064
STARD13	8386
STARD13-IT1	452
STARD13-AS	5800
RP11-363P13.2	1253
LINC02344	644
RP11-141M1.5	1312
RP11-141M1.4	501
RP11-141M1.3	6320
RP11-37L2.1	385
RP11-179A7.2	382
RP11-179A7.4	754
RFC3	2858
RNU5A-4P	111
RP11-142E9.1	4636
RP11-218I21.2	724
VDAC1P12	882
ENSG10010140098.1	128
RP11-282M24.1	228
LINC02343	2676
LINC00457	3187
RP11-266E6.3	1447
GAMTP2	463
RP11-307O13.1	2243
NBEA	11955
SCAND3P1	1060
PHBP13	760
MAB21L1	2901
RP11-98D3.2	2345
LINC00445	1565
DCLK1	14451
SOHLH2	3363
CCDC169-SOHLH2	2051
CCDC169	8837
RNU6-71P	107
SPART	6534
SPART-AS1	5029
CCNA1	2251
H2ACP1	364
SERTM1	3099
GAPDHP34	823
TCEAL4P1	588
ARL2BPP3	751
NDE1P2	1105
RFXAP	2308
SMAD9	5834
SMAD9-IT1	504
LAMTOR3P1	370
RPL29P28	472
EIF4A1P5	1095
ALG5	13831
EXOSC8	3389
SUPT20H	10933
CSNK1A1L	2406
RP11-676B18.2	410
RP11-676B18.1	3752
RN7SKP1	307
RPS12P24	387
LINC01048	511
LINC00547	3314
POSTN	5464
TRPC4	8155
RNA5SP26	119
RP11-206L1.3	3082
LINC02334	6465
HSPD1P9	1636
LINC00571	1571
UFM1	4382
RP11-131P10.2	1080
LINC00437	791
LINC00366	1521
PRDX3P3	522
FREM2	16275
RNU6-56P	93
FREM2-AS1	465
PLA2G12AP2	264
ANKRD26P2	1710
STOML3	1998
PROSER1	7329
NHLRC3	6409
RP11-50D16.4	15932
NXT1P1	316
LHFPL6	4564
COG6	8047
MIR4305	102
RNY4P14	96
CDKN2AIPNLP3	309
AZU1P1	385
LINC00598	19673
LINC00332	2533
RPL17P51	238
RNY3P9	106
RN7SKP2	319
RP11-350A18.2	1769
FOXO1	5957
RLIMP1	1680
MIR320D1	48
MRPS31	2148
SLC25A15	4186
MIR621	96
TPTE2P5	2775
CYCSP34	304
RP11-471M10.3	933
SUGT1P3	1763
ELF1	4441
RGS17P1	553
WBP4	2388
MIR3168	82
RN7SL597P	296
KBTBD6	5234
RP11-74J13.8	2924
CALM2P3	449
KBTBD7	4736
MORF4L1P4	976
MTRF1	3841
RP11-74J13.9	497
RAC1P3	580
NAA16	5805
RNU6-57P	103
TUBBP2	411
OR7E36P	954
OR7E155P	1014
OR7E37P	897
RGCC	1030
RP11-157L14.6	587
RP11-157L14.5	6625
VWA8	7635
MIR5006	110
RN7SL515P	297
RNU6-74P	107
KARS1P1	1752
VWA8-AS1	2150
RPS28P8	208
DGKH	19742
RP11-187A9.3	363
MAPK6P3	2162
CHCHD2P11	457
FHP1	703
AKAP11	9915
LINC02341	1870
FABP3P2	399
TNFSF11	2734
FAM216B	3308
LINC01050	1927
LINC00428	227
EPSTI1	4924
ZDHHC4P1	1035
DNAJC15	8031
LINC00400	547
RP11-460G11.2	1693
ENOX1	3101
RPL36P19	301
ENOX1-AS2	609
ENOX1-AS1	3907
RP11-184E24.1	852
RP11-168P13.3	3915
RP11-168P13.1	262
CCDC122	5416
RP11-5G9.5	449
LACC1	4479
RP11-65B7.2	1792
RP11-5G9.6	458
NRAD1	5160
DGKZP1	2776
LINC00390	5797
SMIM2-AS1	5183
SMIM2	1217
SMIM2-IT1	478
RP11-478K15.7	555
MIR8079	72
RP11-478K15.6	7075
RP11-269C23.5	513
SERP2	1945
TUSC8	3136
TSC22D1	8586
RP11-269C23.4	535
RP11-71C5.2	850
TSC22D1-AS1	3457
SMARCE1P5	1225
LINC00407	295
RP11-442J21.2	415
LINC00330	2036
NUFIP1	3480
RP11-321C24.1	315
GPALPP1	10842
RN7SL49P	298
RN7SKP3	358
GTF2F2	3608
RN7SKP4	322
RP11-321C24.4	129
KCTD4	2124
RP11-290D2.5	226
TPT1	7183
SNORA31B	134
SNORA31	130
RP11-290D2.6	588
TPT1-AS1	14498
RP11-290D2.3	310
RCN1P2	915
SLC25A30	6794
SLC25A30-AS1	701
PPIAP25	540
COG3	6087
ERICH6B	2943
RNA5SP27	119
TIMM9P3	274
COX4I1P2	547
LINC01055	1721
AKR1B1P4	922
CBY2	2116
SIAH3	7075
ZC3H13	10265
CPB2-AS1	19166
CPB2	6699
LCP1	5076
RN7SL288P	291
LRRC63	7282
RN7SKP5	272
ABITRAMP1	541
RP11-247M1.6	1953
LINC00563	1400
RUBCNL	15923
RNU2-6P	190
RNU6-68P	104
PPP1R2P4	595
LINC01198	5690
RP11-189B4.8	1264
OR7E101P	513
RP11-189B4.7	315
COX17P1	192
FKBP1AP3	319
LRCH1	8610
RP11-165D6.1	266
ESD	3527
HTR2A	5628
HTR2A-AS1	603
GNG5P5	220
RN7SL700P	294
SUCLA2	8879
NAP1L4P3	1147
RPL27AP8	446
RP11-279N8.1	411
LINC00562	2470
RP11-528D24.4	1042
SUCLA2-AS1	552
NUDT15	1938
RP11-90M2.5	434
MED4	2590
MED4-AS1	542
POLR2KP2	177
ITM2B	10661
RB1-DT	1832
RB1	6434
PPP1R26P1	3613
PCNPP5	481
RP11-305D15.8	534
LPAR6	4350
RCBTB2	3541
RP11-165D7.6	575
RP11-165D7.5	587
LINC01077	413
LINC00462	962
CYSLTR2	5372
PSME2P2	700
RP11-156K23.3	1101
FNDC3A	7698
RNU6-60P	103
RAD17P2	1977
RNY3P2	102
COX7CP1	192
OGFOD1P1	1592
MLNR	1239
RP11-203I16.7	1244
CDADC1	3863
CAB39L	4944
SETDB2	6678
SNRPGP14	219
PHF11	4835
RCBTB1	4509
RP11-432M24.4	333
ARL11	3618
EBPL	1560
KPNA3	4222
RP11-195L15.2	422
RNY4P30	95
CTAGE10P	2408
RNY4P9	97
SPRYD7	3344
DLEU2	11574
TRIM13	8096
MIR3613	87
KCNRG	1625
ENSG10010137888.1	120
ENSG10010139540.1	90
MIR16-1	89
MIR15A	83
ENSG10010136307.1	73
ENSG10010134734.1	58
ENSG10010138411.1	84
ENSG10010139202.1	136
DLEU1	24037
ENSG10010135214.1	190
RPL18P10	538
ENSG10010139399.1	342
RP11-34F20.7	2648
ST13P4	1093
RPL34P26	354
RP11-369L4.2	2165
DLEU7	7508
RNA5SP28	119
RNASEH2B-AS1	9721
RNASEH2B	26222
GUCY1B2	4060
RNA5SP29	106
C13orf42	3617
RPL5P31	635
RP11-457D13.4	790
PRELID3BP2	201
FAM124A	6700
SERPINE3	2608
MIR5693	73
INTS6	25509
INTS6-AS1	15152
RPS4XP16	997
RN7SL320P	295
SNRPGP11	232
MIR4703	79
RNU6-65P	98
WDFY2	16199
RNY1P6	109
RN7SL413P	297
ATP5PBP1	569
RP11-147H23.3	4372
DHRS12	3531
RP11-327P2.5	2469
TMEM272	4153
CCDC70	1162
CTAGE3P	2404
RP11-327P2.6	337
ATP7B	18808
FABP5P2	408
ALG11	15689
UTP14C	5529
NEK5	7055
RP11-248G5.9	3433
NEK3	4272
MRPS31P5	3873
RP11-248G5.8	3796
THSD1P1	368
RP11-248G5.11	161
TPTE2P2	6223
LINC02333	1045
THSD1	3705
RNY4P24	96
VPS36	7299
RP11-245D16.4	557
CKAP2	4547
LINC00345	1966
RP11-78J21.5	4525
RP11-78J21.6	3099
RP11-78J21.7	2374
MRPS31P4	1028
HNRNPA1L2	1343
SUGT1-DT	975
SUGT1	15102
CNMD	1636
MIR759	91
PPIAP26	522
PCDH8	5150
OLFM4	2843
LINC01065	3118
RP11-24H2.3	565
PCDH8P1	2773
RP11-4D11.1	2358
RN7SL618P	296
RP11-190J12.1	1936
RP11-384G23.1	1857
ZNF646P1	995
LINC00558	4087
LINC00458	2910
RP11-168P6.2	376
MIR1297	77
RPL13AP25	612
RP11-536C2.2	4534
RP11-536C2.1	706
RP11-108H9.1	4352
LINC02335	659
ENSG10010137767.1	160
MIR5007	95
RP11-415G4.1	809
HNF4GP1	1249
RP11-10O23.2	619
SPATA2P1	2055
RN7SKP6	319
PRR20A	1847
PRR20C	2061
PRR20B	1847
PRR20D	1847
PRR20E	1847
PRR20FP	180
MTCO2P3	421
SLC25A5P4	869
RPL31P53	348
PCDH17	8392
RP11-95F22.1	654
RNA5SP30	115
LINC02338	2753
LINC00374	800
RP11-168J5.2	262
RNY4P29	97
CTAGE16P	2412
DNAJA1P1	1187
HMGN2P39	273
POLR3KP1	342
RP11-105A24.2	2230
RPP40P2	712
RNU7-88P	63
DIAPH3	7383
DIAPH3-AS1	966
RN7SL375P	298
DIAPH3-AS2	590
RNY4P28	93
LINC00434	419
TARDBPP2	1231
RP11-359P14.3	176
TDRD3	7823
RNA5SP31	127
LINC00378	3398
EIF4A1P6	1210
RP11-521H3.3	3425
RNY3P5	102
LINC01442	2687
MIR3169	83
PCDH20	4778
RP11-310K10.1	6347
LINC02339	752
RAC1P8	527
RP11-429G17.2	183
LINC00358	1447
LINC01075	370
LINC01074	555
LINC00459	376
RPL32P28	397
RP11-490P13.2	272
SQSTM1P1	859
RP11-234O23.2	772
LINC00448	1637
RP11-527N12.2	676
LINC00376	733
RP11-67L17.1	9263
LINC00395	669
OR7E156P	912
RP11-473M10.4	981
RP11-473M10.3	2034
RNU6-81P	104
PPP1R2P10	595
RP11-394A14.5	1581
OR7E104P	4672
RP11-473M10.5	1171
LINC00355	2811
NFYAP1	972
LGMNP1	1300
STARP1	869
HNRNPA3P5	833
LINC01052	1636
RP11-298H15.1	1366
MIR548X2	100
MIR4704	75
TRIM60P19	1462
PCDH9	30944
PCDH9-AS1	532
RNU7-87P	62
PCDH9-AS2	675
PCDH9-AS3	479
PCDH9-AS4	436
RP11-576O3.1	752
RPSAP53	862
LINC00364	971
RP11-520F22.1	2101
BCRP9	388
NPM1P22	952
OR7E111P	1014
OR7E33P	966
RP11-338L17.1	1318
ELL2P3	1602
HNRNPA1P18	927
RPL37P21	276
RPS3AP52	297
RPL12P34	479
RN7SL761P	278
LINC00550	3614
LINC02342	461
ZDHHC20P4	1007
SNRPFP3	225
LINC00383	2340
SRSF1P1	520
KLHL1	4149
RNY3P10	102
PSMC1P13	985
ATXN8OS	7294
ATXN8	1601
RNU6-54P	107
RP11-475F14.1	171
MTCL1P1	792
LINC00348	1783
RABEPKP1	1026
DACH1	5401
H3P36	403
RPL21P109	475
RPL35AP31	337
RPS10P21	475
ENSG10010138705.1	66
RPL18AP17	198
ENSG10010134782.1	83
ENSG10010140117.1	168
ENSG10010137037.1	131
RPL21P110	446
RNU6-80P	107
MZT1	2231
BORA	3189
DIS3	10835
PIBF1	4179
RNU6-79P	107
PSMD10P3	448
KLF5	3679
FABP5P1	411
RNU6-66P	104
RNU4-10P	140
RNY1P8	114
RP11-309J13.1	175
MARK2P12	585
LINC00393	5026
LINC00392	1089
KLF12	11114
RP11-552M6.1	2130
RP11-157H4.1	448
LINC00402	3340
RP11-512C24.4	3159
RNY1P5	115
RPL21P108	481
RP11-512C24.3	2328
LINC00381	1505
RP11-285E18.2	880
LINC00347	3977
RIOK3P1	1528
RNU6-38P	107
SSR1P2	787
CTAGE11P	2353
LINC01078	387
TBC1D4	8032
RP11-182M20.2	425
COMMD6	2902
UCHL3	1905
RP11-29G8.3	4178
LMO7-AS1	2131
LMO7	14367
RP11-173B14.4	865
FAM204CP	642
LMO7DN	1167
LMO7DN-IT1	321
LINC00561	2738
LINC01034	277
RN7SL571P	295
RP11-19D22.1	7045
RP11-267P7.1	2333
RP11-275D4.1	592
KCTD12	6231
AC000403.4	3585
BTF3P11	477
ACOD1	2159
RPL7P44	742
DHX9P1	3076
CLN5	22814
RP11-226E21.4	6145
FBXL3	7076
MYCBP2-AS1	4087
AC001226.7	539
MYCBP2	18170
MYCBP2-AS2	428
AC001226.8	84
RP11-81G4.1	655
SCEL	4205
RP11-137M6.3	1092
SCEL-AS1	570
RNY3P7	101
SPTLC1P5	252
RP11-408O13.4	1251
SLAIN1	4300
MIR3665	105
EDNRB-AS1	3993
EDNRB	5608
OBI1-AS1	8790
RP11-318G21.4	1181
RN7SL810P	276
LINC01069	3682
LINC00446	1051
RP11-203P2.2	342
SRGNP1	451
RNY3P3	102
RPL31P54	370
ELOCP23	332
RP11-52L5.6	3491
POU4F1	4539
OBI1	3507
RPL21P111	477
LINC00331	1822
HSPD1P8	1658
CCT5P2	1624
NIPA2P5	464
BCAS2P3	767
RBM26	10122
RNA5SP33	98
RBM26-AS1	6752
NDFIP2-AS1	431
NDFIP2	4994
LINC01068	1013
RP11-25J23.4	1287
LINC01038	428
LINC00382	1516
RP11-470M1.2	10285
LINC01080	2242
RP11-263K14.1	5485
SPRY2	3213
RNU6-61P	109
HNRNPA1P31	970
PWWP2AP1	2273
RP11-237N2.1	10986
ARF4P4	520
LINC00377	1392
DPPA3P3	430
LINC00564	1119
RP11-452B18.2	382
RNU6-77P	91
HIGD1AP2	280
PTMAP5	1162
RP11-400M8.1	695
GYG1P2	1006
RP11-464I4.1	364
RNU6-67P	97
RP11-275O3.1	974
SLITRK1	5270
RP11-395N17.3	4193
VENTXP2	481
RP11-163N15.2	1272
UBE2D3P4	436
RP11-661D17.1	1042
RP11-120L14.1	3558
MTND4P1	1466
MTND5P3	1800
LINC00333	613
RP11-522H16.1	1362
RP11-531P20.2	1214
LINC00375	601
RP11-447N10.1	346
LINC00351	1654
RP11-498F10.1	1262
SLITRK6	4416
RP11-272M24.2	407
MOB1AP1	535
RP11-30L8.1	194
ABC8-43014700C16.1	85
DDX6P2	1455
RP11-412K20.1	1236
TXNL1P1	554
LINC00430	776
UBBP5	266
LIN28AP2	458
RP11-365J7.1	407
RP11-342C20.2	666
MIR4500HG	16127
RP11-29P20.1	1328
MIR4500	76
SLITRK5	21942
RP11-471M2.4	130
LINC00397	634
RP11-471M2.3	3599
TET1P1	2301
LINC00373	561
RPL29P29	423
RP11-428M15.1	3685
LINC00433	2055
RP11-478H12.2	1323
RP11-360A9.3	659
LINC00560	1599
GRPEL2P1	339
RP11-478H12.1	596
LINC00440	1662
LINC01047	946
TRIM60P13	1283
SP3P	2065
LINC02336	2272
LINC01040	666
LINC00353	685
RPL7L1P1	785
ENSG10010135146.1	68
PEX12P1	1048
LINC00559	4246
RNA5SP34	130
FAR1P1	934
KRT18P27	1299
MIR622	96
LINC01049	742
RNU6-75P	104
LINC00410	2018
BRK1P2	223
LINC00380	353
LINC00379	545
PPIAP23	497
MIR17HG	3774
MIR17	84
MIR18A	71
MIR19A	82
MIR20A	71
MIR19B1	87
MIR92A1	78
GPC5	3530
RP11-487A2.1	1078
RP11-95C14.1	2006
RNU4ATAC3P	126
FABP5P4	171
RP11-306O1.2	2117
GPC5-AS2	1196
RP11-165N12.2	2587
GPC5-IT1	658
MIR548AS	58
RP11-66G15.1	1067
RP11-118A1.2	234
GPC5-AS1	461
LINC00363	616
RP11-632L2.3	2842
RP11-632L2.2	706
GPC6	7122
RP11-71K7.1	844
HNRNPA1P29	879
GPC6-AS2	587
RNA5SP35	129
GPC6-AS1	698
DCT	7540
TGDS	2571
GPR180	8884
RNA5SP36	133
LINC00391	3037
RN7SL585P	280
SOX21-AS1	4852
SOX21	2924
BRD7P5	1822
RPL21P112	463
LINC00557	1279
RP11-74A12.3	1081
RNU6-62P	102
ABCC4	8629
RNY3P8	126
RNY4P27	96
MEMO1P5	406
CLDN10	3385
CLDN10-AS1	895
DZIP1	8473
DNAJC3-DT	3591
DNAJC3	5590
MTND5P2	1142
MTND6P18	513
MTCYBP3	1137
RP11-10E18.7	1040
UGGT2	8105
HMGN1P24	298
HS6ST3	8538
RN7SL164P	303
MIR4501	64
AMMECR1LP1	841
HSP90AB6P	1980
TULP3P1	2025
RP11-65L19.4	1370
RN7SKP7	285
OXGR1	2665
LINC00456	4693
MBNL2	4908
RP11-419D4.1	600
RNA5SP37	130
RP11-128N14.6	4724
RAP2A	5623
RP11-128N14.5	223
RP11-128N14.4	363
PSMA6P4	718
RP11-120E13.1	692
RP11-120E13.2	1920
RPL7AP61	636
RP11-383H17.4	159
IPO5	9664
FTLP8	267
FARP1	36232
RNF113B	1380
RN7SKP8	358
MIR3170	77
RP11-573N10.1	1051
RP11-261P24.2	508
FARP1-AS1	323
STK24	12077
RP11-295B17.6	538
STK24-AS1	1278
NUS1P4	585
CYCSP35	304
CALM2P4	426
RN7SL60P	299
SLC15A1	4210
DOCK9	14816
DOCK9-AS1	392
RP11-155N3.4	264
RPL7L1P12	729
RNU6-83P	112
DOCK9-DT	807
RPS6P23	722
UBAC2-AS1	2628
GAPDHP22	413
UBAC2	4673
RN7SKP9	299
H2AZP3	387
GPR18	2000
GPR183	1685
MIR623	98
HMGB3P4	514
CCR12P	4544
RP11-178C10.4	1188
TM9SF2	5566
LINC01232	6199
RP11-214F16.8	565
LINC00449	872
LINC01039	650
CFL1P8	475
RP11-214F16.9	1170
CLYBL	7227
MIR4306	91
CLYBL-AS2	695
CLYBL-AS1	709
ENSG10010139403.1	127
RP11-134O15.4	577
RP11-134O15.3	8903
ZIC5	4639
RP11-12G12.8	762
ZIC2	3290
LINC00554	3011
NDUFA12P1	406
PCCA-DT	2077
ASNSP3	1306
PCCA	7288
RPL15P18	612
RP11-340C20.3	283
RP11-364F8.1	1204
PCCA-AS1	995
GGACT	3526
RP11-151A6.4	3635
RP11-151A6.6	2203
RPS26P47	348
TMTC4	6574
COX5BP6	211
NALCN-AS1	2846
ARF4P3	509
LINC00411	2106
NALCN	19444
ITGBL1	6176
FGF14	14059
RP11-397O8.7	429
RNU1-24P	165
HMGB3P7	611
MIR2681	105
LIPT1P1	1186
RNY1P2	117
MIR4705	71
RPL39P29	157
FGF14-IT1	2379
RP11-347N5.3	483
FGF14-AS1	537
FGF14-AS2	1074
LINC00555	442
RP11-29B2.6	536
TPP2	8793
METTL21C	1625
CCDC168	21470
RP11-484I6.9	867
TEX30	2256
POGLUT2	2336
BIVM-ERCC5	5709
BIVM	7952
ERCC5	11043
METTL21EP	2337
RP11-255P5.2	977
RP11-255P5.3	662
SLC10A2	3350
RP11-123H22.2	1912
LINC01309	1669
ATP6V1G1P7	349
RP11-78L19.1	1486
RPL7P45	743
RP11-100K21.1	271
DAOA-AS1	2482
ENSG10010134144.1	201
ENSG10010134639.1	204
DAOA	2295
RP11-252M24.1	760
LINC00343	15917
ENSG10010135860.1	121
RP11-406G20.1	3263
RNA5SP38	119
RP11-358P11.1	2370
LINC00460	4232
RPL35P9	350
EFNB2	5005
RP11-272L14.3	10043
RP11-272L14.2	668
ARGLU1	5783
LINC00551	6122
LINC00443	1495
ATP5MC1P5	411
RP11-207D10.1	2273
RP11-282A11.3	657
PPIAP24	471
RP11-282A11.4	950
RP11-282A11.2	612
RP11-49A19.1	1017
FAM155A	9264
SNORD31B	69
RP11-381O6.1	691
MIR1267	78
FAM155A-IT1	819
RP11-513N16.1	580
RP11-346C4.3	2990
LIG4	4388
ABHD13	5313
TNFSF13B	3059
RP11-153I24.4	415
RNA5SP39	120
RP11-153I24.5	3376
HCFC2P1	1592
MYO16	8816
MYO16-AS2	436
MYO16-AS1	580
RP11-54H7.4	5087
LINC00370	1337
LINC01067	664
LINC00399	414
RP11-358F13.1	1515
LINC00676	474
IRS2	8156
RP11-40E6.1	518
RP11-40E6.2	552
RN7SKP10	325
RP11-403A3.1	1708
RP11-403A3.3	4353
RP11-403A3.2	467
LINC00396	439
RN7SL783P	301
RP11-472K17.3	2027
RP11-472K17.4	914
COL4A1	14662
RP11-212E4.1	863
COL4A2	19271
MIR8073	72
COL4A2-AS2	1522
COL4A2-AS1	540
RAB20	1507
RP11-90L1.8	3272
NAXD	2973
CARS2	10436
ING1	6093
RPL21P107	460
LINC00567	3409
PRECSIT	6265
ANKRD10	4563
ANKRD10-IT1	800
RP11-365P13.5	1824
PARP1P1	3026
RP11-365P13.6	644
LINC00431	1189
LINC00368	650
RP11-551M15.6	344
ARHGEF7-AS2	1239
ARHGEF7	11768
ARHGEF7-IT1	804
ARHGEF7-AS1	321
RP11-551M15.5	1311
RP11-17E4.1	582
TEX29	956
RP11-65D24.2	2130
LINC02337	374
LINC00354	2574
ENSG10010137961.1	61
SOX1-OT	3403
SOX1	4558
RP11-450H6.3	1923
LINC00404	428
LINC01070	2829
LINC01043	6897
LINC01044	657
SPACA7	1078
TUBGCP3	7248
RP11-88E10.4	3590
ATP11AUN	2241
RP11-88E10.5	3047
ATP11A	14024
ATP11A-AS1	2192
RP11-73M11.3	593
MCF2L	23158
RP11-120K24.3	1297
MCF2L-AS1	712
RP11-120K24.4	647
RP11-120K24.5	649
F7	3799
F10	2371
F10-AS1	417
KARS1P2	1639
RP11-98F14.12	2238
PROZ	1675
RP11-98F14.11	182
PCID2	6246
CUL4A	7813
MIR8075	80
LDHBP1	1119
LAMP1	5741
GRTP1	2917
RP11-391H12.8	509
GRTP1-AS1	1481
ADPRHL1	11044
DCUN1D2	4345
DCUN1D2-AS	373
RNU1-16P	164
TMCO3	10381
RP11-230F18.6	418
RP11-230F18.5	3362
TFDP1	3744
ATP4B	1500
GRK1	4878
LINC00552	2579
